App_ID,Rank,Name
479516143,1,Minecraft: Play with Friends
1118115766,2,Bloons TD 6
342548956,3,TurboScan™ Pro: PDF scanner
623592465,4,Heads Up!
625334537,5,Geometry Dash
1477966166,6,MONOPOLY: The Board Game
525818839,7,Plague Inc.
284791396,8,Solitaire by MobilityWare
723795263,9,Trivia Crack (No Ads)
763692274,10,Grand Theft Auto: San Andreas
563718995,11,Bloons TD 5
1400579543,12,imo video calls and chat HD
294934058,13,HotSchedules
892279069,14,Star Walk 2: Stars and Planets
338088432,15,Free Tone - Calling & Texting
1406710800,16,Stardew Valley
1164801111,17,AutoSleep Track Sleep on Watch
319295332,18,TuneIn Radio: Music & Sports
1596736236,19,Red's First Flight
640364616,20,Terraria
497716362,21,TonalEnergy Tuner & Metronome
1303222868,22,Paprika Recipe Manager 3
866450515,23,Forest: Focus for Productivity
289894882,24,White Noise
325683306,25,MyRadar Weather Radar Pro
1439187947,26,Rebel Inc.
391855805,27,Spider Solitaire MobilityWare
1248033433,28,Kingdom Rush Vengeance TD Game
1093131935,29,Incredibox
1286676015,30,The Room: Old Sins
363738376,31,forScore
918054748,32,The Room Three
1150534552,33,Clue: Classic Edition
730712409,34,ProCam - Pro Camera
691121579,35,AdBlock
1117405948,36,The Game of Life
475249619,37,My Macros+ | Diet & Calories
283179414,38,Solebon Solitaire - 50 Games
435871950,39,HappyCow - Vegan Food Near You
307868751,40,JotNot Scanner App Pro
310647896,41,WeatherBug Elite
837860959,42,Mini Metro
1512751689,43,The Game of Life 2
385756768,44,Dictionary.com Pro English
1306844643,45,Sonic Runners Adventure
435355256,46,EpocCam Webcamera for Computer
1293681293,47,Pocket Build
1056920931,48,Iron Marines: RTS offline game
963034692,49,Streaks
821560738,50,AnyFont
904237743,51,Things 3
1062515791,52,The House of Da Vinci
329981776,53,Sudoku ″
1062022008,54,LumaFusion
1295610132,55,Screen Mirroring + for Roku
1162580001,56,Game Dev Tycoon
423198259,57,Chess Tiger Pro
284862767,58,FreeCell
912536422,59,Five Nights at Freddy's
951627022,60,Photo Scanner Plus
1084860489,61,Chameleon Run
1239299402,62,Street Fighter IV CE
478126577,63,Merriam-Webster Dictionary+
1117998129,64,Human Anatomy Atlas 2025
